Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
5perc_10repeat	0.45	0.3185	0.0636	0.0045	0.6468	0.228	0.3372	0.3174	0.5253	0.0204	0.0014	0.6222	0.0023	0.0	0.4307	0.0025	0.0
5perc_10repeat	0.4	0.3248	0.069	0.0049	0.6145	0.2645	0.3698	0.3247	0.5214	0.0227	0.0016	0.6232	0.0025	0.0	0.4271	0.0027	0.0
5perc_10repeat	0.35	0.3381	0.0717	0.0051	0.6052	0.2377	0.3413	0.3515	0.5246	0.0242	0.0017	0.6224	0.003	0.0	0.4328	0.003	0.0
5perc_10repeat	0.3	0.3591	0.068	0.0048	0.545	0.2559	0.3483	0.3691	0.5253	0.0287	0.002	0.6188	0.0034	0.0	0.4359	0.0035	0.0
5perc_10repeat	0.25	0.3763	0.0637	0.0045	0.4926	0.2585	0.3391	0.3793	0.5259	0.0337	0.0024	0.6226	0.0042	0.0	0.4325	0.0043	0.0
5perc_10repeat	0.2	0.3934	0.0604	0.0043	0.4412	0.2297	0.3021	0.4033	0.5291	0.0385	0.0027	0.6249	0.0047	0.0	0.4424	0.0052	0.0
5perc_10repeat	0.1	0.4165	0.0643	0.0045	0.3675	0.2886	0.3233	0.4302	0.529	0.0499	0.0035	0.6158	0.0085	0.0	0.4509	0.0098	0.0
5perc_10repeat	0.05	0.4371	0.0706	0.005	0.3065	0.4014	0.3475	0.4563	0.5227	0.0916	0.0065	0.578	0.0184	0.0	0.5067	0.0199	0.0

15perc_10repeat	0.9	0.2378	0.0386	0.0027	0.7722	0.3113	0.4437	0.2327	0.5194	0.0063	0.0004	0.5865	0.0006	0.0	0.4611	0.0006	0.0
15perc_10repeat	0.8	0.2519	0.0429	0.003	0.757	0.26	0.387	0.242	0.5205	0.0084	0.0006	0.5862	0.0009	0.0	0.4611	0.0009	0.0
15perc_10repeat	0.1	0.3961	0.0679	0.0048	0.331	0.3321	0.3316	0.413	0.5236	0.0487	0.0034	0.5778	0.0071	0.0	0.4898	0.0077	0.0
15perc_10repeat	0.7	0.2639	0.0473	0.0033	0.7498	0.2386	0.362	0.2573	0.5197	0.011	0.0008	0.5863	0.0011	0.0	0.4609	0.0011	0.0
15perc_10repeat	0.6	0.2752	0.0508	0.0036	0.7129	0.2293	0.347	0.2743	0.5188	0.0127	0.0009	0.586	0.0013	0.0	0.4599	0.0014	0.0
15perc_10repeat	0.5	0.287	0.0542	0.0038	0.6707	0.2086	0.3182	0.2742	0.5193	0.0139	0.001	0.5855	0.0016	0.0	0.4614	0.0017	0.0
15perc_10repeat	0.45	0.3053	0.0614	0.0043	0.5914	0.2278	0.329	0.3025	0.5195	0.0188	0.0013	0.587	0.0019	0.0	0.4633	0.0019	0.0
15perc_10repeat	0.4	0.3114	0.0563	0.004	0.5728	0.2013	0.2979	0.3056	0.5193	0.019	0.0013	0.5856	0.0021	0.0	0.4655	0.0021	0.0
15perc_10repeat	0.35	0.3246	0.0622	0.0044	0.5348	0.2193	0.3111	0.3296	0.5197	0.0216	0.0015	0.5864	0.0025	0.0	0.4632	0.0024	0.0
15perc_10repeat	0.3	0.3317	0.0613	0.0043	0.4755	0.2537	0.3309	0.3344	0.5205	0.0243	0.0017	0.5806	0.0026	0.0	0.4651	0.003	0.0
15perc_10repeat	0.25	0.3463	0.0638	0.0045	0.465	0.2237	0.3021	0.3521	0.5221	0.0252	0.0018	0.5908	0.0031	0.0	0.469	0.0033	0.0
15perc_10repeat	0.2	0.3567	0.0642	0.0045	0.385	0.2708	0.3179	0.3666	0.5237	0.0298	0.0021	0.585	0.0037	0.0	0.4741	0.004	0.0
15perc_10repeat	0.05	0.4159	0.0736	0.0052	0.3079	0.4281	0.3582	0.4423	0.5274	0.069	0.0049	0.5423	0.0145	0.0	0.5295	0.0151	0.0


40perc_5repeat	0.1	0.3395	0.0664	0.0047	0.3614	0.4421	0.3977	0.3321	0.5105	0.0305	0.0022	0.5225	0.0047	0.0	0.4905	0.0046	0.0
40perc_5repeat	0.9	0.236	0.0236	0.0017	0.6775	0.278	0.3942	0.2299	0.5092	0.0073	0.0005	0.5353	0.0007	0.0	0.4887	0.0007	0.0
40perc_5repeat	0.8	0.2442	0.0238	0.0017	0.6227	0.2383	0.3447	0.2381	0.5099	0.009	0.0006	0.536	0.0009	0.0	0.4905	0.0008	0.0
40perc_5repeat	0.7	0.2468	0.0234	0.0017	0.6361	0.2588	0.3679	0.2384	0.5083	0.009	0.0006	0.5352	0.0009	0.0	0.489	0.0009	0.0
